start,end,name
358.4,363.90099999999995,TRIAL
358.4,363.9,STIM_ferretmixed41.wav
358.4,363.9,REFERENCE
358.4,360.4,PreStimSilence
363.4,363.9,PostStimSilence
364.0,369.501,TRIAL
364.0,369.5,STIM_ferretmixed42.wav
364.0,369.5,REFERENCE
364.0,366.0,PreStimSilence
369.0,369.5,PostStimSilence
369.6,375.101,TRIAL
369.6,375.1,STIM_ferretmixed41.wav
369.6,375.1,REFERENCE
369.6,371.6,PreStimSilence
374.6,375.1,PostStimSilence
375.2,380.70099999999996,TRIAL
375.2,380.7,STIM_ferretmixed42.wav
375.2,380.7,REFERENCE
375.2,377.2,PreStimSilence
380.2,380.7,PostStimSilence
380.8,386.301,TRIAL
380.8,386.3,STIM_ferretmixed42.wav
380.8,386.3,REFERENCE
380.8,382.8,PreStimSilence
385.8,386.3,PostStimSilence
386.4,391.90099999999995,TRIAL
386.4,391.9,STIM_ferretmixed41.wav
386.4,391.9,REFERENCE
386.4,388.4,PreStimSilence
391.4,391.9,PostStimSilence
392.0,397.501,TRIAL
392.0,397.5,STIM_ferretmixed41.wav
392.0,397.5,REFERENCE
392.0,394.0,PreStimSilence
397.0,397.5,PostStimSilence
397.6,403.101,TRIAL
397.6,403.1,STIM_ferretmixed42.wav
397.6,403.1,REFERENCE
397.6,399.6,PreStimSilence
402.6,403.1,PostStimSilence
403.2,408.70099999999996,TRIAL
403.2,408.7,STIM_ferretmixed42.wav
403.2,408.7,REFERENCE
403.2,405.2,PreStimSilence
408.2,408.7,PostStimSilence
408.8,414.301,TRIAL
408.8,414.3,STIM_ferretmixed41.wav
408.8,414.3,REFERENCE
408.8,410.8,PreStimSilence
413.8,414.3,PostStimSilence
414.4,419.90099999999995,TRIAL
414.4,419.9,STIM_ferretmixed41.wav
414.4,419.9,REFERENCE
414.4,416.4,PreStimSilence
419.4,419.9,PostStimSilence
420.0,425.501,TRIAL
420.0,425.5,STIM_ferretmixed42.wav
420.0,425.5,REFERENCE
420.0,422.0,PreStimSilence
425.0,425.5,PostStimSilence
425.6,431.101,TRIAL
425.6,431.1,STIM_ferretmixed41.wav
425.6,431.1,REFERENCE
425.6,427.6,PreStimSilence
430.6,431.1,PostStimSilence
431.2,436.70099999999996,TRIAL
431.2,436.7,STIM_ferretmixed42.wav
431.2,436.7,REFERENCE
431.2,433.2,PreStimSilence
436.2,436.7,PostStimSilence
436.8,442.301,TRIAL
436.8,442.3,STIM_ferretmixed41.wav
436.8,442.3,REFERENCE
436.8,438.8,PreStimSilence
441.8,442.3,PostStimSilence
442.4,447.90099999999995,TRIAL
442.4,447.9,STIM_ferretmixed42.wav
442.4,447.9,REFERENCE
442.4,444.4,PreStimSilence
447.4,447.9,PostStimSilence
448.0,453.501,TRIAL
448.0,453.5,STIM_ferretmixed41.wav
448.0,453.5,REFERENCE
448.0,450.0,PreStimSilence
453.0,453.5,PostStimSilence
453.6,459.101,TRIAL
453.6,459.1,STIM_ferretmixed42.wav
453.6,459.1,REFERENCE
453.6,455.6,PreStimSilence
458.6,459.1,PostStimSilence
459.2,464.70099999999996,TRIAL
459.2,464.7,STIM_ferretmixed41.wav
459.2,464.7,REFERENCE
459.2,461.2,PreStimSilence
464.2,464.7,PostStimSilence
464.8,470.301,TRIAL
464.8,470.3,STIM_ferretmixed42.wav
464.8,470.3,REFERENCE
464.8,466.8,PreStimSilence
469.8,470.3,PostStimSilence
470.4,475.90099999999995,TRIAL
470.4,475.9,STIM_ferretmixed42.wav
470.4,475.9,REFERENCE
470.4,472.4,PreStimSilence
475.4,475.9,PostStimSilence
476.0,481.501,TRIAL
476.0,481.5,STIM_ferretmixed41.wav
476.0,481.5,REFERENCE
476.0,478.0,PreStimSilence
481.0,481.5,PostStimSilence
481.6,487.101,TRIAL
481.6,487.1,STIM_ferretmixed41.wav
481.6,487.1,REFERENCE
481.6,483.6,PreStimSilence
486.6,487.1,PostStimSilence
487.2,492.70099999999996,TRIAL
487.2,492.7,STIM_ferretmixed42.wav
487.2,492.7,REFERENCE
487.2,489.2,PreStimSilence
492.2,492.7,PostStimSilence
492.8,498.301,TRIAL
492.8,498.3,STIM_ferretmixed42.wav
492.8,498.3,REFERENCE
492.8,494.8,PreStimSilence
497.8,498.3,PostStimSilence
498.4,503.90099999999995,TRIAL
498.4,503.9,STIM_ferretmixed41.wav
498.4,503.9,REFERENCE
498.4,500.4,PreStimSilence
503.4,503.9,PostStimSilence
504.0,509.501,TRIAL
504.0,509.5,STIM_ferretmixed41.wav
504.0,509.5,REFERENCE
504.0,506.0,PreStimSilence
509.0,509.5,PostStimSilence
509.6,515.101,TRIAL
509.6,515.1,STIM_ferretmixed42.wav
509.6,515.1,REFERENCE
509.6,511.6,PreStimSilence
514.6,515.1,PostStimSilence
515.2,520.701,TRIAL
515.2,520.7,STIM_ferretmixed41.wav
515.2,520.7,REFERENCE
515.2,517.2,PreStimSilence
520.2,520.7,PostStimSilence
520.8,526.3009999999999,TRIAL
520.8,526.3,STIM_ferretmixed42.wav
520.8,526.3,REFERENCE
520.8,522.8,PreStimSilence
525.8,526.3,PostStimSilence
526.4,531.901,TRIAL
526.4,531.9,STIM_ferretmixed42.wav
526.4,531.9,REFERENCE
526.4,528.4,PreStimSilence
531.4,531.9,PostStimSilence
532.0,537.501,TRIAL
532.0,537.5,STIM_ferretmixed41.wav
532.0,537.5,REFERENCE
532.0,534.0,PreStimSilence
537.0,537.5,PostStimSilence
537.6,543.101,TRIAL
537.6,543.1,STIM_ferretmixed42.wav
537.6,543.1,REFERENCE
537.6,539.6,PreStimSilence
542.6,543.1,PostStimSilence
543.2,548.701,TRIAL
543.2,548.7,STIM_ferretmixed41.wav
543.2,548.7,REFERENCE
543.2,545.2,PreStimSilence
548.2,548.7,PostStimSilence
548.8,554.3009999999999,TRIAL
548.8,554.3,STIM_ferretmixed42.wav
548.8,554.3,REFERENCE
548.8,550.8,PreStimSilence
553.8,554.3,PostStimSilence
554.4,559.901,TRIAL
554.4,559.9,STIM_ferretmixed41.wav
554.4,559.9,REFERENCE
554.4,556.4,PreStimSilence
559.4,559.9,PostStimSilence
560.0,565.501,TRIAL
560.0,565.5,STIM_ferretmixed41.wav
560.0,565.5,REFERENCE
560.0,562.0,PreStimSilence
565.0,565.5,PostStimSilence
565.6,571.101,TRIAL
565.6,571.1,STIM_ferretmixed42.wav
565.6,571.1,REFERENCE
565.6,567.6,PreStimSilence
570.6,571.1,PostStimSilence
571.2,576.701,TRIAL
571.2,576.7,STIM_ferretmixed41.wav
571.2,576.7,REFERENCE
571.2,573.2,PreStimSilence
576.2,576.7,PostStimSilence
576.8,582.3009999999999,TRIAL
576.8,582.3,STIM_ferretmixed42.wav
576.8,582.3,REFERENCE
576.8,578.8,PreStimSilence
581.8,582.3,PostStimSilence
582.4,587.901,TRIAL
582.4,587.9,STIM_ferretmixed42.wav
582.4,587.9,REFERENCE
582.4,584.4,PreStimSilence
587.4,587.9,PostStimSilence
588.0,593.501,TRIAL
588.0,593.5,STIM_ferretmixed41.wav
588.0,593.5,REFERENCE
588.0,590.0,PreStimSilence
593.0,593.5,PostStimSilence
593.6,599.101,TRIAL
593.6,599.1,STIM_ferretmixed42.wav
593.6,599.1,REFERENCE
593.6,595.6,PreStimSilence
598.6,599.1,PostStimSilence
599.2,604.701,TRIAL
599.2,604.7,STIM_ferretmixed41.wav
599.2,604.7,REFERENCE
599.2,601.2,PreStimSilence
604.2,604.7,PostStimSilence
604.8,610.3009999999999,TRIAL
604.8,610.3,STIM_ferretmixed42.wav
604.8,610.3,REFERENCE
604.8,606.8,PreStimSilence
609.8,610.3,PostStimSilence
610.4,615.901,TRIAL
610.4,615.9,STIM_ferretmixed41.wav
610.4,615.9,REFERENCE
610.4,612.4,PreStimSilence
615.4,615.9,PostStimSilence
616.0,621.501,TRIAL
616.0,621.5,STIM_ferretmixed42.wav
616.0,621.5,REFERENCE
616.0,618.0,PreStimSilence
621.0,621.5,PostStimSilence
621.6,627.101,TRIAL
621.6,627.1,STIM_ferretmixed41.wav
621.6,627.1,REFERENCE
621.6,623.6,PreStimSilence
626.6,627.1,PostStimSilence
627.2,632.701,TRIAL
627.2,632.7,STIM_ferretmixed42.wav
627.2,632.7,REFERENCE
627.2,629.2,PreStimSilence
632.2,632.7,PostStimSilence
632.8,638.3009999999999,TRIAL
632.8,638.3,STIM_ferretmixed41.wav
632.8,638.3,REFERENCE
632.8,634.8,PreStimSilence
637.8,638.3,PostStimSilence
638.4,643.901,TRIAL
638.4,643.9,STIM_ferretmixed41.wav
638.4,643.9,REFERENCE
638.4,640.4,PreStimSilence
643.4,643.9,PostStimSilence
644.0,649.501,TRIAL
644.0,649.5,STIM_ferretmixed42.wav
644.0,649.5,REFERENCE
644.0,646.0,PreStimSilence
649.0,649.5,PostStimSilence
649.6,655.101,TRIAL
649.6,655.1,STIM_ferretmixed41.wav
649.6,655.1,REFERENCE
649.6,651.6,PreStimSilence
654.6,655.1,PostStimSilence
655.2,660.701,TRIAL
655.2,660.7,STIM_ferretmixed42.wav
655.2,660.7,REFERENCE
655.2,657.2,PreStimSilence
660.2,660.7,PostStimSilence
660.8,666.3009999999999,TRIAL
660.8,666.3,STIM_ferretmixed41.wav
660.8,666.3,REFERENCE
660.8,662.8,PreStimSilence
665.8,666.3,PostStimSilence
666.4,671.901,TRIAL
666.4,671.9,STIM_ferretmixed42.wav
666.4,671.9,REFERENCE
666.4,668.4,PreStimSilence
671.4,671.9,PostStimSilence
672.0,677.501,TRIAL
672.0,677.5,STIM_ferretmixed41.wav
672.0,677.5,REFERENCE
672.0,674.0,PreStimSilence
677.0,677.5,PostStimSilence
677.6,683.101,TRIAL
677.6,683.1,STIM_ferretmixed42.wav
677.6,683.1,REFERENCE
677.6,679.6,PreStimSilence
682.6,683.1,PostStimSilence
683.2,688.701,TRIAL
683.2,688.7,STIM_ferretmixed41.wav
683.2,688.7,REFERENCE
683.2,685.2,PreStimSilence
688.2,688.7,PostStimSilence
688.8,694.3009999999999,TRIAL
688.8,694.3,STIM_ferretmixed42.wav
688.8,694.3,REFERENCE
688.8,690.8,PreStimSilence
693.8,694.3,PostStimSilence
694.4,699.901,TRIAL
694.4,699.9,STIM_ferretmixed41.wav
694.4,699.9,REFERENCE
694.4,696.4,PreStimSilence
699.4,699.9,PostStimSilence
700.0,705.501,TRIAL
700.0,705.5,STIM_ferretmixed42.wav
700.0,705.5,REFERENCE
700.0,702.0,PreStimSilence
705.0,705.5,PostStimSilence
705.6,711.101,TRIAL
705.6,711.1,STIM_ferretmixed42.wav
705.6,711.1,REFERENCE
705.6,707.6,PreStimSilence
710.6,711.1,PostStimSilence
711.2,716.701,TRIAL
711.2,716.7,STIM_ferretmixed41.wav
711.2,716.7,REFERENCE
711.2,713.2,PreStimSilence
716.2,716.7,PostStimSilence
716.8,722.3009999999999,TRIAL
716.8,722.3,STIM_ferretmixed42.wav
716.8,722.3,REFERENCE
716.8,718.8,PreStimSilence
721.8,722.3,PostStimSilence
722.4,727.901,TRIAL
722.4,727.9,STIM_ferretmixed41.wav
722.4,727.9,REFERENCE
722.4,724.4,PreStimSilence
727.4,727.9,PostStimSilence
728.0,733.501,TRIAL
728.0,733.5,STIM_ferretmixed42.wav
728.0,733.5,REFERENCE
728.0,730.0,PreStimSilence
733.0,733.5,PostStimSilence
733.6,739.101,TRIAL
733.6,739.1,STIM_ferretmixed41.wav
733.6,739.1,REFERENCE
733.6,735.6,PreStimSilence
738.6,739.1,PostStimSilence
739.2,744.701,TRIAL
739.2,744.7,STIM_ferretmixed41.wav
739.2,744.7,REFERENCE
739.2,741.2,PreStimSilence
744.2,744.7,PostStimSilence
744.8,750.3009999999999,TRIAL
744.8,750.3,STIM_ferretmixed42.wav
744.8,750.3,REFERENCE
744.8,746.8,PreStimSilence
749.8,750.3,PostStimSilence
750.4,755.901,TRIAL
750.4,755.9,STIM_ferretmixed41.wav
750.4,755.9,REFERENCE
750.4,752.4,PreStimSilence
755.4,755.9,PostStimSilence
756.0,761.501,TRIAL
